"metric","site","value"
"Zdays","07103700",0
"Zdays","07105500",0
"Zdays","07105800",0
"Zdays","07106300",0
"Zdays","07106500",0.108108108108108
"Zdays","07109500",0
"Zdays","08313000",0
"Zdays","08330000",0.0263157894736842
"Zdays","08354900",0.236842105263158
"Zdays","08355490",34.7368421052632
"Zdays","08358400",20.2105263157895
"Zdays","09095500",0
"Zdays","09152500",0
"Zdays","09163500",0
"Zdays","09261000",0
"Seasonal","07103700",1
"Seasonal","07105500",1
"Seasonal","07105800",1
"Seasonal","07106300",1
"Seasonal","07106500",1
"Seasonal","07109500",1
"Seasonal","08313000",1
"Seasonal","08330000",1
"Seasonal","08354900",1
"Seasonal","08355490",1
"Seasonal","08358400",1
"Seasonal","09095500",1
"Seasonal","09152500",1
"Seasonal","09163500",1
"Seasonal","09261000",1
"npeaks","07103700",8
"npeaks","07105500",17
"npeaks","07105800",19
"npeaks","07106300",13
"npeaks","07106500",18
"npeaks","07109500",24
"npeaks","08313000",19
"npeaks","08330000",25
"npeaks","08354900",13
"npeaks","08355490",13
"npeaks","08358400",15
"npeaks","09095500",8
"npeaks","09152500",7
"npeaks","09163500",12
"npeaks","09261000",7
"npeaks","09367540",12
"npeaks","09367580",7
"bpos","07103700",51.5829796527422
"apos","07103700",109.852134790325
"panomdiff","07103700",-58.2691551375823
"bpos","07105500",54.6210296117379
"apos","07105500",77.0994025270633
"panomdiff","07105500",-22.4783729153254
"bpos","07105800",28.1975257241292
"apos","07105800",48.4946964676766
"panomdiff","07105800",-20.2971707435474
"bpos","07106300",30.7382064325489
"apos","07106300",62.9047974539263
"panomdiff","07106300",-32.1665910213774
"bpos","07106500",37.7964698165154
"apos","07106500",65.3049651903272
"panomdiff","07106500",-27.5084953738118
"bpos","07109500",24.6209776507806
"apos","07109500",33.6315599363181
"panomdiff","07109500",-9.01058228553752
"bpos","08313000",9.1570143781748
"apos","08313000",21.8646783716731
"panomdiff","08313000",-12.7076639934983
"bpos","08330000",33.7059475341295
"apos","08330000",17.2184659784449
"panomdiff","08330000",16.4874815556846
"bpos","08354900",57.4428204767884
"apos","08354900",32.1587233179633
"panomdiff","08354900",25.2840971588251
"bpos","08355490",119.271968388737
"apos","08355490",67.9510217434615
"panomdiff","08355490",51.3209466452756
"bpos","08358400",112.847628292549
"apos","08358400",58.8930917750902
"panomdiff","08358400",53.9545365174593
"bpos","09095500",15.7758464747764
"apos","09095500",10.5274089248261
"panomdiff","09095500",5.24843754995023
"bpos","09152500",23.497541728391
"apos","09152500",53.7982809077097
"panomdiff","09152500",-30.3007391793187
"bpos","09163500",21.5630357204856
"apos","09163500",12.7594122244597
"panomdiff","09163500",8.80362349602597
"bpos","09261000",40.7201750652034
"apos","09261000",13.7428395113063
"panomdiff","09261000",26.9773355538971
